Name,Category,US,RU
Weapons/A91U_A91_Kobra,Weapons,1,1
Weapons/A91U_A91_M145,Weapons,1,1
Weapons/A91U_A91_PK-AS,Weapons,1,1
Weapons/A91U_A91_PKA,Weapons,1,1
Weapons/A91U_A91_PKS-07,Weapons,1,1
Weapons/A91U_A91_PSO-1,Weapons,1,1
Weapons/A91U_A91_Rifle_scope,Weapons,1,1
Weapons/A91U_A91_RX_01,Weapons,1,1
Weapons/A91U_A91_Silencer,Weapons,1,1
Weapons/A91U_A91_Target_Pointer,Weapons,1,1
Weapons/AEK971U_AEK971,Weapons,1,1
Weapons/AEK971U_AEK971_40mm_HE,Weapons,1,1
Weapons/AEK971U_AEK971_40mm_LVG,Weapons,1,1
Weapons/AEK971U_AEK971_40mm_SHG,Weapons,1,1
Weapons/AEK971U_AEK971_40mm_SMK,Weapons,1,1
Weapons/AEK971U_AEK971_Acog,Weapons,1,1
Weapons/AEK971U_AEK971_Ballistic_Scope,Weapons,1,1
Weapons/AEK971U_AEK971_Bipod,Weapons,1,1
Weapons/AEK971U_AEK971_EOTech,Weapons,1,1
Weapons/AEK971U_AEK971_Flashlight,Weapons,1,1
Weapons/AEK971U_AEK971_Flashsuppressor,Weapons,1,1
Weapons/AEK971U_AEK971_Foregrip,Weapons,1,1
Weapons/AEK971U_AEK971_HeavyBarrel,Weapons,1,1
Weapons/AEK971U_AEK971_IRNV,Weapons,1,1
Weapons/AEK971U_AEK971_Kobra,Weapons,1,1
Weapons/AEK971U_AEK971_M145,Weapons,1,1
Weapons/AEK971U_AEK971_M320_HE,Weapons,1,1
Weapons/AEK971U_AEK971_M320_LVG,Weapons,1,1
Weapons/AEK971U_AEK971_M320_SHG,Weapons,1,1
Weapons/AEK971U_AEK971_M320_SMK,Weapons,1,1
Weapons/AEK971U_AEK971_PK-AS,Weapons,1,1
Weapons/AEK971U_AEK971_PKA,Weapons,1,1
Weapons/AEK971U_AEK971_PKS-07,Weapons,1,1
Weapons/AEK971U_AEK971_PSO-1,Weapons,1,1
Weapons/AEK971U_AEK971_Rifle_Scope,Weapons,1,1
Weapons/AEK971U_AEK971_RX01,Weapons,1,1
Weapons/AEK971U_AEK971_Sightrail,Weapons,1,1
Weapons/AEK971U_AEK971_Soundsuppressor,Weapons,1,1
Weapons/AEK971U_AEK971_TargetPointer,Weapons,1,1
Weapons/AK74MU_AK74M,Weapons,1,1
Weapons/AK74MU_AK74M_12g,Weapons,1,1
Weapons/AK74MU_AK74M_12g_Flechette,Weapons,1,1
Weapons/AK74MU_AK74M_12g_Frag,Weapons,1,1
Weapons/AK74MU_AK74M_12g_Slug,Weapons,1,1
Weapons/AK74MU_AK74M_40mm_HE,Weapons,1,1
Weapons/AK74MU_AK74M_40mm_LVG,Weapons,1,1
Weapons/AK74MU_AK74M_40mm_SHG,Weapons,1,1
Weapons/AK74MU_AK74M_40mm_SMK,Weapons,1,1
Weapons/AK74MU_AK74M_Acog,Weapons,1,1
Weapons/AK74MU_AK74M_Ballistic_scope,Weapons,1,1
Weapons/AK74MU_AK74M_Bipod,Weapons,1,1
Weapons/AK74MU_AK74M_Eotech,Weapons,1,1
Weapons/AK74MU_AK74M_Flashlight,Weapons,1,1
Weapons/AK74MU_AK74M_Flashsuppressor,Weapons,1,1
Weapons/AK74MU_AK74M_Foregrip,Weapons,1,1
Weapons/AK74MU_AK74M_HeavyBarrel,Weapons,1,1
Weapons/AK74MU_AK74M_IRNV,Weapons,1,1
Weapons/AK74MU_AK74M_Kobra,Weapons,1,1
Weapons/AK74MU_AK74M_M145,Weapons,1,1
Weapons/AK74MU_AK74M_M26Mass,Weapons,1,1
Weapons/AK74MU_AK74M_M26Mass_Flechette,Weapons,1,1
Weapons/AK74MU_AK74M_M26Mass_Frag,Weapons,1,1
Weapons/AK74MU_AK74M_M26Mass_Slug,Weapons,1,1
Weapons/AK74MU_AK74M_M320_HE,Weapons,1,1
Weapons/AK74MU_AK74M_M320_LVG,Weapons,1,1
Weapons/AK74MU_AK74M_M320_SHG,Weapons,1,1
Weapons/AK74MU_AK74M_M320_SMK,Weapons,1,1
Weapons/AK74MU_AK74M_PK-AS,Weapons,1,1
Weapons/AK74MU_AK74M_PKA,Weapons,1,1
Weapons/AK74MU_AK74M_PKS-07,Weapons,1,1
Weapons/AK74MU_AK74M_PSO-1,Weapons,1,1
Weapons/AK74MU_AK74M_Rifle_scope,Weapons,1,1
Weapons/AK74MU_AK74M_RX_01,Weapons,1,1
Weapons/AK74MU_AK74M_Silencer,Weapons,1,1
Weapons/AK74MU_AK74M_TargetPointer,Weapons,1,1
Weapons/AK74MU_AK74M_US,Weapons,1,1
Weapons/AKS74uU_AKS74u,Weapons,1,1
Weapons/AKS74uU_AKS74u_Acog,Weapons,1,1
Weapons/AKS74uU_AKS74u_Ballistic_scope,Weapons,1,1
Weapons/AKS74uU_AKS74u_Bipod,Weapons,1,1
Weapons/AKS74uU_AKS74u_Eotech,Weapons,1,1
Weapons/AKS74uU_AKS74u_Flashlight,Weapons,1,1
Weapons/AKS74uU_AKS74u_Flashsuppressor,Weapons,1,1
Weapons/AKS74uU_AKS74u_Foregrip,Weapons,1,1
Weapons/AKS74uU_AKS74u_HeavyBarrel,Weapons,1,1
Weapons/AKS74uU_AKS74u_IRNV,Weapons,1,1
Weapons/AKS74uU_AKS74u_Kobra,Weapons,1,1
Weapons/AKS74uU_AKS74u_M145,Weapons,1,1
Weapons/AKS74uU_AKS74u_PK-AS,Weapons,1,1
Weapons/AKS74uU_AKS74u_PKA,Weapons,1,1
Weapons/AKS74uU_AKS74u_PKS-07,Weapons,1,1
Weapons/AKS74uU_AKS74u_PSO-1,Weapons,1,1
Weapons/AKS74uU_AKS74u_Rifle_scope,Weapons,1,1
Weapons/AKS74uU_AKS74u_RX_01,Weapons,1,1
Weapons/AKS74uU_AKS74u_Silencer,Weapons,1,1
Weapons/AKS74uU_AKS74u_Target_Pointer,Weapons,1,1
Weapons/AKS74uU_AKS74u_US,Weapons,1,1
Weapons/AN94U_AN94,Weapons,1,1
Weapons/AN94U_AN94_40mm_HE,Weapons,1,1
Weapons/AN94U_AN94_40mm_LVG,Weapons,1,1
Weapons/AN94U_AN94_40mm_SHG,Weapons,1,1
Weapons/AN94U_AN94_40mm_SMK,Weapons,1,1
Weapons/AN94U_AN94_Acog,Weapons,1,1
Weapons/AN94U_AN94_Ballistic_Scope,Weapons,1,1
Weapons/AN94U_AN94_Bipod,Weapons,1,1
Weapons/AN94U_AN94_Eotech,Weapons,1,1
Weapons/AN94U_AN94_Flashlight,Weapons,1,1
Weapons/AN94U_AN94_Flashsuppressor,Weapons,1,1
Weapons/AN94U_AN94_Foregrip,Weapons,1,1
Weapons/AN94U_AN94_HeavyBarrel,Weapons,1,1
Weapons/AN94U_AN94_IRNV,Weapons,1,1
Weapons/AN94U_AN94_Kobra,Weapons,1,1
Weapons/AN94U_AN94_M145,Weapons,1,1
Weapons/AN94U_AN94_M320_HE,Weapons,1,1
Weapons/AN94U_AN94_M320_LVG,Weapons,1,1
Weapons/AN94U_AN94_M320_SHG,Weapons,1,1
Weapons/AN94U_AN94_M320_SMK,Weapons,1,1
Weapons/AN94U_AN94_PK-AS,Weapons,1,1
Weapons/AN94U_AN94_PKA,Weapons,1,1
Weapons/AN94U_AN94_PKS-07,Weapons,1,1
Weapons/AN94U_AN94_PSO-1,Weapons,1,1
Weapons/AN94U_AN94_Rifle_Scope,Weapons,1,1
Weapons/AN94U_AN94_RX01,Weapons,1,1
Weapons/AN94U_AN94_Soundsuppressor,Weapons,1,1
Weapons/AN94U_AN94_TargetPointer,Weapons,1,1
Weapons/ASValU_ASVal,Weapons,1,1
Weapons/ASValU_ASVal_Acog,Weapons,1,1
Weapons/ASValU_ASVal_BallisticScope,Weapons,1,1
Weapons/ASValU_ASVal_Eotech,Weapons,1,1
Weapons/ASValU_ASVal_ExtendedMag,Weapons,1,1
Weapons/ASValU_ASVal_Flashlight,Weapons,1,1
Weapons/ASValU_ASVal_Foregrip,Weapons,1,1
Weapons/ASValU_ASVal_IRNV,Weapons,1,1
Weapons/ASValU_ASVal_Kobra,Weapons,1,1
Weapons/ASValU_ASVal_Kobra_SP_Paris,Weapons,1,1
Weapons/ASValU_ASVal_M145,Weapons,1,1
Weapons/ASValU_ASVal_PK-AS,Weapons,1,1
Weapons/ASValU_ASVal_PKA,Weapons,1,1
Weapons/ASValU_ASVal_PKS-07,Weapons,1,1
Weapons/ASValU_ASVal_PSO-1,Weapons,1,1
Weapons/ASValU_ASVal_RifleScope,Weapons,1,1
Weapons/ASValU_ASVal_RX01,Weapons,1,1
Weapons/ASValU_ASVal_TargetPointer,Weapons,1,1
Weapons/DAO-12U_DAO-12,Weapons,1,1
Weapons/DAO-12U_DAO-12_Acog,Weapons,1,1
Weapons/DAO-12U_DAO-12_Eotech,Weapons,1,1
Weapons/DAO-12U_DAO-12_ExtendedMag,Weapons,1,1
Weapons/DAO-12U_DAO-12_Flashlight,Weapons,1,1
Weapons/DAO-12U_DAO-12_Flashsuppressor,Weapons,1,1
Weapons/DAO-12U_DAO-12_Flechette,Weapons,1,1
Weapons/DAO-12U_DAO-12_Frag,Weapons,1,1
Weapons/DAO-12U_DAO-12_IRNV,Weapons,1,1
Weapons/DAO-12U_DAO-12_Kobra,Weapons,1,1
Weapons/DAO-12U_DAO-12_M145,Weapons,1,1
Weapons/DAO-12U_DAO-12_PK-AS,Weapons,1,1
Weapons/DAO-12U_DAO-12_PKA,Weapons,1,1
Weapons/DAO-12U_DAO-12_PKS-07,Weapons,1,1
Weapons/DAO-12U_DAO-12_PSO-1,Weapons,1,1
Weapons/DAO-12U_DAO-12_Rifle_scope,Weapons,1,1
Weapons/DAO-12U_DAO-12_RX01,Weapons,1,1
Weapons/DAO-12U_DAO-12_Silencer,Weapons,1,1
Weapons/DAO-12U_DAO-12_Slug,Weapons,1,1
Weapons/DAO-12U_DAO-12_Targetpointer,Weapons,1,1
Weapons/F2000U_F2000,Weapons,1,1
Weapons/F2000U_F2000_Acog,Weapons,1,1
Weapons/F2000U_F2000_Ballistic_Scope,Weapons,1,1
Weapons/F2000U_F2000_Bipod,Weapons,1,1
Weapons/F2000U_F2000_Camo_NWU,Weapons,1,1
Weapons/F2000U_F2000_Camo_PARTIZAN,Weapons,1,1
Weapons/F2000U_F2000_EOTech,Weapons,1,1
Weapons/F2000U_F2000_Flashlight,Weapons,1,1
Weapons/F2000U_F2000_Flash_Suppressor,Weapons,1,1
Weapons/F2000U_F2000_Foregrip,Weapons,1,1
Weapons/F2000U_F2000_Heavy_Barrel,Weapons,1,1
Weapons/F2000U_F2000_IRNV,Weapons,1,1
Weapons/F2000U_F2000_Kobra,Weapons,1,1
Weapons/F2000U_F2000_M145,Weapons,1,1
Weapons/F2000U_F2000_PK-AS,Weapons,1,1
Weapons/F2000U_F2000_PKA,Weapons,1,1
Weapons/F2000U_F2000_PKS-07,Weapons,1,1
Weapons/F2000U_F2000_PSO-1,Weapons,1,1
Weapons/F2000U_F2000_Rifle_Scope,Weapons,1,1
Weapons/F2000U_F2000_RX01,Weapons,1,1
Weapons/F2000U_F2000_Sound_Suppressor,Weapons,1,1
Weapons/F2000U_F2000_Target_Pointer,Weapons,1,1
Weapons/FGM148U_FGM148,Weapons,1,1
Weapons/FGM148U_FGM148_SP,Weapons,1,1
Weapons/FIM92AU_FIM92,Weapons,1,1
Weapons/FIM92AU_FIM92_SP_Valley,Weapons,1,1
Weapons/G36CU_G36C,Weapons,1,1
Weapons/G36CU_G36C_ACOG,Weapons,1,1
Weapons/G36CU_G36C_Ballistic_Scope,Weapons,1,1
Weapons/G36CU_G36C_Bipod,Weapons,1,1
Weapons/G36CU_G36C_EOTech,Weapons,1,1
Weapons/G36CU_G36C_Flashlight,Weapons,1,1
Weapons/G36CU_G36C_Flashsuppressor,Weapons,1,1
Weapons/G36CU_G36C_Foregrip,Weapons,1,1
Weapons/G36CU_G36C_HeavyBarrel,Weapons,1,1
Weapons/G36CU_G36C_IRNV,Weapons,1,1
Weapons/G36CU_G36C_Kobra,Weapons,1,1
Weapons/G36CU_G36C_M145,Weapons,1,1
Weapons/G36CU_G36C_PK-AS,Weapons,1,1
Weapons/G36CU_G36C_PKA,Weapons,1,1
Weapons/G36CU_G36C_PKS-07,Weapons,1,1
Weapons/G36CU_G36C_PSO-1,Weapons,1,1
Weapons/G36CU_G36C_Rifle_scope,Weapons,1,1
Weapons/G36CU_G36C_RX_01,Weapons,1,1
Weapons/G36CU_G36C_Silencer,Weapons,1,1
Weapons/G36CU_G36C_Target_Pointer,Weapons,1,1
Weapons/G3A3U_G3A3,Weapons,1,1
Weapons/G3A3U_G3A3_12g_Buck,Weapons,1,1
Weapons/G3A3U_G3A3_12g_Flechette,Weapons,1,1
Weapons/G3A3U_G3A3_12g_Frag,Weapons,1,1
Weapons/G3A3U_G3A3_12g_Slug,Weapons,1,1
Weapons/G3A3U_G3A3_ACOG,Weapons,1,1
Weapons/G3A3U_G3A3_BallisticScope,Weapons,1,1
Weapons/G3A3U_G3A3_Bipod,Weapons,1,1
Weapons/G3A3U_G3A3_EOTech,Weapons,1,1
Weapons/G3A3U_G3A3_FlashLight,Weapons,1,1
Weapons/G3A3U_G3A3_FlashSuppressor,Weapons,1,1
Weapons/G3A3U_G3A3_Foregrip,Weapons,1,1
Weapons/G3A3U_G3A3_HeavyBarrel,Weapons,1,1
Weapons/G3A3U_G3A3_IRNV,Weapons,1,1
Weapons/G3A3U_G3A3_Kobra,Weapons,1,1
Weapons/G3A3U_G3A3_M145,Weapons,1,1
Weapons/G3A3U_G3A3_M26_Buck,Weapons,1,1
Weapons/G3A3U_G3A3_M26_Flechette,Weapons,1,1
Weapons/G3A3U_G3A3_M26_Frag,Weapons,1,1
Weapons/G3A3U_G3A3_M26_Slug,Weapons,1,1
Weapons/G3A3U_G3A3_PK-AS,Weapons,1,1
Weapons/G3A3U_G3A3_PKA,Weapons,1,1
Weapons/G3A3U_G3A3_PKS-07,Weapons,1,1
Weapons/G3A3U_G3A3_PSO-1,Weapons,1,1
Weapons/G3A3U_G3A3_Rifle_Scope,Weapons,1,1
Weapons/G3A3U_G3A3_RX01,Weapons,1,1
Weapons/G3A3U_G3A3_Silencer,Weapons,1,1
Weapons/G3A3U_G3A3_Target_Pointer,Weapons,1,1
Weapons/Gadgets\AmmobagU_Ammobag,Weapons,1,1
Weapons/Gadgets\C4U_C4,Weapons,1,1
Weapons/Gadgets\ClaymoreU_Claymore,Weapons,1,1
Weapons/Gadgets\ClaymoreU_COOP_Claymore,Weapons,1,1
Weapons/Gadgets\DefibrillatorU_Defib,Weapons,1,1
Weapons/Gadgets\EODBotU_EODBot,Weapons,1,1
Weapons/Gadgets\M15U_M15,Weapons,1,1
Weapons/Gadgets\M224U_M224,Weapons,1,1
Weapons/Gadgets\M224U_M224_SP,Weapons,1,1
Weapons/Gadgets\M26MassU_M26Mass,Weapons,1,1
Weapons/Gadgets\M26MassU_M26Mass_Flechette,Weapons,1,1
Weapons/Gadgets\M26MassU_M26Mass_Frag,Weapons,1,1
Weapons/Gadgets\M26MassU_M26Mass_Slug,Weapons,1,1
Weapons/Gadgets\M320U_40mm_LVG,Weapons,1,1
Weapons/Gadgets\M320U_40mm_SHG,Weapons,1,1
Weapons/Gadgets\M320U_40mm_SMK,Weapons,1,1
Weapons/Gadgets\M320U_M320_HE,Weapons,1,1
Weapons/Gadgets\M320U_M320_LVG,Weapons,1,1
Weapons/Gadgets\M320U_M320_SHG,Weapons,1,1
Weapons/Gadgets\M320U_M320_SMK,Weapons,1,1
Weapons/Gadgets\MAVU_MAV,Weapons,1,1
Weapons/Gadgets\MedicbagU_Medkit,Weapons,1,1
Weapons/Gadgets\RadioBeaconU_RadioBeacon,Weapons,1,1
Weapons/Gadgets\RepairtoolU_Repairtool,Weapons,1,1
Weapons/Gadgets\SOFLAMU_SOFLAM,Weapons,1,1
Weapons/Gadgets\T-UGSU_UGS,Weapons,1,1
Weapons/Glock17U_Glock17,Weapons,1,1
Weapons/Glock17U_Glock17_Laser,Weapons,1,1
Weapons/Glock17U_Glock17_Silenced,Weapons,1,1
Weapons/Glock17U_Glock17_Silencer,Weapons,1,1
Weapons/Glock18U_Glock18,Weapons,1,1
Weapons/Glock18U_Glock18_Silenced,Weapons,1,1
Weapons/Glock18U_Glock18_Silencer,Weapons,1,1
Weapons/HandcuffsU_HandCuffs,Weapons,1,1
Weapons/KH2002U_KH2002,Weapons,1,1
Weapons/KH2002U_KH2002_Acog,Weapons,1,1
Weapons/KH2002U_KH2002_Ballistic_Scope,Weapons,1,1
Weapons/KH2002U_KH2002_Bipod,Weapons,1,1
Weapons/KH2002U_KH2002_EOTech,Weapons,1,1
Weapons/KH2002U_KH2002_Flashlight,Weapons,1,1
Weapons/KH2002U_KH2002_Flash_Suppressor,Weapons,1,1
Weapons/KH2002U_KH2002_Foregrip,Weapons,1,1
Weapons/KH2002U_KH2002_Heavy_Barrel,Weapons,1,1
Weapons/KH2002U_KH2002_IRNV,Weapons,1,1
Weapons/KH2002U_KH2002_Kobra,Weapons,1,1
Weapons/KH2002U_KH2002_M145,Weapons,1,1
Weapons/KH2002U_KH2002_PK-AS,Weapons,1,1
Weapons/KH2002U_KH2002_PKA,Weapons,1,1
Weapons/KH2002U_KH2002_PKS-07,Weapons,1,1
Weapons/KH2002U_KH2002_PSO-1,Weapons,1,1
Weapons/KH2002U_KH2002_Rifle_Scope,Weapons,1,1
Weapons/KH2002U_KH2002_RX01,Weapons,1,1
Weapons/KH2002U_KH2002_Sound_Suppressor,Weapons,1,1
Weapons/KH2002U_KH2002_Target_Pointer,Weapons,1,1
Weapons/KnifeU_Knife,Weapons,1,1
Weapons/M1014U_M1014,Weapons,1,1
Weapons/M1014U_M1014_Acog,Weapons,1,1
Weapons/M1014U_M1014_Ballistic_scope,Weapons,1,1
Weapons/M1014U_M1014_Eotech,Weapons,1,1
Weapons/M1014U_M1014_ExtendedMag,Weapons,1,1
Weapons/M1014U_M1014_Flashlight,Weapons,1,1
Weapons/M1014U_M1014_Flashsuppressor,Weapons,1,1
Weapons/M1014U_M1014_Flechette,Weapons,1,1
Weapons/M1014U_M1014_Frag,Weapons,1,1
Weapons/M1014U_M1014_IRNV,Weapons,1,1
Weapons/M1014U_M1014_Kobra,Weapons,1,1
Weapons/M1014U_M1014_M145,Weapons,1,1
Weapons/M1014U_M1014_PK-AS,Weapons,1,1
Weapons/M1014U_M1014_PKA,Weapons,1,1
Weapons/M1014U_M1014_PKS-07,Weapons,1,1
Weapons/M1014U_M1014_PSO-1,Weapons,1,1
Weapons/M1014U_M1014_Rifle_scope,Weapons,1,1
Weapons/M1014U_M1014_RX01,Weapons,1,1
Weapons/M1014U_M1014_Silencer,Weapons,1,1
Weapons/M1014U_M1014_Slug,Weapons,1,1
Weapons/M1014U_M1014_Targetpointer,Weapons,1,1
Weapons/M136U_M136,Weapons,1,1
Weapons/M16A4U_M16A4,Weapons,1,1
Weapons/M16A4U_M16A4_12g_Buck,Weapons,1,1
Weapons/M16A4U_M16A4_12g_Flechette,Weapons,1,1
Weapons/M16A4U_M16A4_12g_Frag,Weapons,1,1
Weapons/M16A4U_M16A4_12g_Slug,Weapons,1,1
Weapons/M16A4U_M16A4_40mm_HE,Weapons,1,1
Weapons/M16A4U_M16A4_40mm_LVG,Weapons,1,1
Weapons/M16A4U_M16A4_40mm_SHG,Weapons,1,1
Weapons/M16A4U_M16A4_40mm_SMK,Weapons,1,1
Weapons/M16A4U_M16A4_ACOG,Weapons,1,1
Weapons/M16A4U_M16A4_Ballistic_Scope,Weapons,1,1
Weapons/M16A4U_M16A4_Bipod,Weapons,1,1
Weapons/M16A4U_M16A4_Burst,Weapons,1,1
Weapons/M16A4U_M16A4_EOTech,Weapons,1,1
Weapons/M16A4U_M16A4_Flashlight,Weapons,1,1
Weapons/M16A4U_M16A4_FlashSuppressor,Weapons,1,1
Weapons/M16A4U_M16A4_Foregrip,Weapons,1,1
Weapons/M16A4U_M16A4_HeavyBarrel,Weapons,1,1
Weapons/M16A4U_M16A4_IRNV,Weapons,1,1
Weapons/M16A4U_M16A4_Kobra,Weapons,1,1
Weapons/M16A4U_M16A4_M145,Weapons,1,1
Weapons/M16A4U_M16A4_M26_Buck,Weapons,1,1
Weapons/M16A4U_M16A4_M26_Flechette,Weapons,1,1
Weapons/M16A4U_M16A4_M26_Frag,Weapons,1,1
Weapons/M16A4U_M16A4_M26_Slug,Weapons,1,1
Weapons/M16A4U_M16A4_M320_HE,Weapons,1,1
Weapons/M16A4U_M16A4_M320_LVG,Weapons,1,1
Weapons/M16A4U_M16A4_M320_SHG,Weapons,1,1
Weapons/M16A4U_M16A4_M320_SMK,Weapons,1,1
Weapons/M16A4U_M16A4_PK-AS,Weapons,1,1
Weapons/M16A4U_M16A4_PKA,Weapons,1,1
Weapons/M16A4U_M16A4_PKS-07,Weapons,1,1
Weapons/M16A4U_M16A4_PSO-1,Weapons,1,1
Weapons/M16A4U_M16A4_Rifle_Scope,Weapons,1,1
Weapons/M16A4U_M16A4_RU,Weapons,1,1
Weapons/M16A4U_M16A4_RX01,Weapons,1,1
Weapons/M16A4U_M16A4_Sound_Suppressor,Weapons,1,1
Weapons/M16A4U_M16A4_TargetPointer,Weapons,1,1
Weapons/M16A4U_M16_Burst,Weapons,1,1
Weapons/M1911U_M1911,Weapons,1,1
Weapons/M1911U_M1911_Light,Weapons,1,1
Weapons/M1911U_M1911_Lit,Weapons,1,1
Weapons/M1911U_M1911_Silenced,Weapons,1,1
Weapons/M1911U_M1911_Silencer,Weapons,1,1
Weapons/M1911U_M1911_Tactical,Weapons,1,1
Weapons/M1911U_M1911_Tactical_Unlock,Weapons,1,1
Weapons/M240U_M240,Weapons,1,1
Weapons/M240U_M240_ACOG,Weapons,1,1
Weapons/M240U_M240_BallisticScope,Weapons,1,1
Weapons/M240U_M240_Bipod,Weapons,1,1
Weapons/M240U_M240_CAMO_1,Weapons,1,1
Weapons/M240U_M240_CAMO_2,Weapons,1,1
Weapons/M240U_M240_EOTech,Weapons,1,1
Weapons/M240U_M240_ExtendedMag,Weapons,1,1
Weapons/M240U_M240_Flashlight,Weapons,1,1
Weapons/M240U_M240_FlashSuppressor,Weapons,1,1
Weapons/M240U_M240_Foregrip,Weapons,1,1
Weapons/M240U_M240_IRNV,Weapons,1,1
Weapons/M240U_M240_Kobra,Weapons,1,1
Weapons/M240U_M240_M145,Weapons,1,1
Weapons/M240U_M240_PK-AS,Weapons,1,1
Weapons/M240U_M240_PKA,Weapons,1,1
Weapons/M240U_M240_PKS-07,Weapons,1,1
Weapons/M240U_M240_PSO-1,Weapons,1,1
Weapons/M240U_M240_Rifle_Scope,Weapons,1,1
Weapons/M240U_M240_RX01,Weapons,1,1
Weapons/M240U_M240_Silencer,Weapons,1,1
Weapons/M240U_M240_TargetPointer,Weapons,1,1
Weapons/M249U_M249,Weapons,1,1
Weapons/M249U_M249_Acog,Weapons,1,1
Weapons/M249U_M249_Ballistic_scope,Weapons,1,1
Weapons/M249U_M249_Bipod,Weapons,1,1
Weapons/M249U_M249_Eotech,Weapons,1,1
Weapons/M249U_M249_ExtendedMag,Weapons,1,1
Weapons/M249U_M249_Flashlight,Weapons,1,1
Weapons/M249U_M249_Flashsuppressor,Weapons,1,1
Weapons/M249U_M249_Foregrip,Weapons,1,1
Weapons/M249U_M249_IRNV,Weapons,1,1
Weapons/M249U_M249_Kobra,Weapons,1,1
Weapons/M249U_M249_M145,Weapons,1,1
Weapons/M249U_M249_PK-AS,Weapons,1,1
Weapons/M249U_M249_PKA,Weapons,1,1
Weapons/M249U_M249_PKS-07,Weapons,1,1
Weapons/M249U_M249_PSO-1,Weapons,1,1
Weapons/M249U_M249_Rifle_scope,Weapons,1,1
Weapons/M249U_M249_RX01,Weapons,1,1
Weapons/M249U_M249_Silencer,Weapons,1,1
Weapons/M249U_M249_Targetpointer,Weapons,1,1
Weapons/M27IARU_M27IAR,Weapons,1,1
Weapons/M27IARU_M27IAR_Acog,Weapons,1,1
Weapons/M27IARU_M27IAR_Ballistic_Scope,Weapons,1,1
Weapons/M27IARU_M27IAR_Bipod,Weapons,1,1
Weapons/M27IARU_M27IAR_EOTech,Weapons,1,1
Weapons/M27IARU_M27IAR_ExtendedMag,Weapons,1,1
Weapons/M27IARU_M27IAR_Flashlight,Weapons,1,1
Weapons/M27IARU_M27IAR_FlashSuppressor,Weapons,1,1
Weapons/M27IARU_M27IAR_Foregrip,Weapons,1,1
Weapons/M27IARU_M27IAR_HeavyBarrel,Weapons,1,1
Weapons/M27IARU_M27IAR_IRNV,Weapons,1,1
Weapons/M27IARU_M27IAR_Kobra,Weapons,1,1
Weapons/M27IARU_M27IAR_M145,Weapons,1,1
Weapons/M27IARU_M27IAR_PK-AS,Weapons,1,1
Weapons/M27IARU_M27IAR_PKA,Weapons,1,1
Weapons/M27IARU_M27IAR_PKS-07,Weapons,1,1
